"","Doc","Score","Documents"
"1"," 1"," 0","ok"
"2"," 2"," 0","hmm ok letí see begin use love fb day garag long ago ad allow kept pop intrigu thought vet compani fb enough trust made purchas later product total scam ok bad fb basic said sorri canít monitor everyth shop risk"
"3"," 3","-4","jump forward ití polit season guess censor post exampl censor may disturb coupl sing rendit star spangl banner share conserv fb page either fb song lol now random post remov censor constant basic let slime ball advertis thatí scam steal money get review everyday"
"4"," 4","-1","use fun place connect old school friend familya place freeli express uniqu self use abl post anyth want whether true felt like nobodi realli care thing open great discuss now everyth share comment scrutin behindthescreen random ghost peopl peopl opinion freeli express like post comment taken block hidden audienc notifi opinion post happen someth person disagre test post polar opposit opinion issu see fals news fake news post current polit event distinct viewpoint ghost person disagre cover label fals link articl audienc click prove viewpoint fake news fit person viewpoint never touch person disagre thing post found quick viewpoint ghost robot behind screen read everybodyí person stuff good"
"5"," 5","-4","profil sever year now person attest steep declin whole platform publish mean respons user post howev recent decid act publish restrict censor profil articl page post align left wing ideolog agenda compani like becom mere propaganda outlet democrat parti much like mainstream media good part live greatest free prosper countri histori world main said know leftist hate america wont like part much anyway move suppress free speech conserv voic matter compani rose fight facebookí fascist censorship anyth doesnít like parler capit babi like encourag everyon anyon read delet parler view belief wont censor suppress differ king zuckerbergí much ìtoler leftî right left didnít doubl standard standard see parler"
"6"," 6"," 2","app drive crazi month now stay page black twice per even read someth cousin newspap articl instanc post friend app black everi continu open app hope find place im almost readi delet darn wonder worth frustrat ive written problem staff three time receiv recommend app fix"
"7"," 7","-2","dear peopl creat account page liter two day ago tri ad page yesterday earli think ad account flag everyth told sent review request fix problem unflag ad account sent email confirm howev access either account page anymor ití donít exist appar problem alreadi fix canít see anyth previous put account page"
"8"," 8","-2","first ever give someth star review donít mean rude custom servic bad canít even proper delet account case ití fulli gone yeah someon pleas help"
"9"," 9"," 0","fb account ìhackedî suspend"
"10","10","-1","iím review app store result star rate account wrong accus î post goe communiti standard nuditi sexual activ î gift feed share feed coupl kiss result account îtemporarilyî bannedkick account without warn ui set tell goe action complet ridiculousb im goe process thousand user get effect tri reach even headquart call ya noth even tri use safari show option remov issu feed lead anoth error couldnt discard previous updat connect im kick fb account repli î thank provid infoî î weî ll review info confirm youll abl request review help center within approxim hour didnt receiv anyth pleas fix app"
"11","11"," 1","much chang fb first download app absolut love stay connect famili friend somehow core gone miss now pay seen fb see ppl timelin activ friend post daili wonít seen small busi even seen without burden come pocket still seen unless pocket daili african american definit feel red line use app definit donít feel like ití equal opportun major media especi tri ì pull boot strap ì constant systemat stop speak experi iím rare speak thing like howev prompt leav review hope thing chang better think app suppos connect us famili friend everyth power stop us connect"
"12","12"," 0","app show updat today now open ipad mini run io work fine yesterday pleas rememb mani peopl use older devic realli arenít old iív ipad year sure app work previous version io current updat read review app evid doesnít work newest io either app need fix asap canít fix bug tomorrow pleas roll us previous version updat phone now instal new version app still open evid certain devic affect still big problem need emerg fix updat follow advic anoth review delet app reinstal fix problem ití work evid data overload app store much data thereí need accumul data devic except save login cooki mayb login cooki form info builtin browser"
"13","13","-9","face book applic purpos remov press report news human right organ speak behalf oppress palestinian occupi palestin illeg arm settler attack threaten safeti indigen palestinian steal home land put hand terror famili forc flea land home call isra armi mob demolish peopleí home destroy agricultur land terror palestinian place hardship surviv peopl includ children age year place prison without fair trial mani case reason pressur famili give right ownership crime war place occupi territori daili basi still bias face book shush voic freedom express support call justic platform suspend account express even broadcast whatí happen behind door"
"14","14"," 0","expect plat form thatí own guy gave american nation citizenship get away pay american money tax million dollar made"
"15","15","-1","follow necessari prompt suppos everi sinc got new phone wonít let get app repeat taken four selfi yesterday whole differ number taken selfi whole differ number today repeat put risk repeat new user donít trust get log canít get switch mobil compani donít old phone number old mobil phone post wonít neither put risk hacker new user donít trust donít put risk have page post give type rate have ident expos manner state paragraph ití wrong get touch feder trade commiss center sinc deactiv page post"
"16","16","-2","recent video start display keep watch button right middl video iím scroll newsfe watch video ití entireti abl deal ad video ití frustrat make app enjoy use backforward arrow webpag need put bottom page ití easi now hit x button close webpag realli want go page frustrat youív look someth long close newsfe refresh youív lost link look origin none app pinterest backforward button bottom screen away ìxî button donít risk close page ití littl like break app right now youír verg fall apart"
"17","17","-1","open app see hand post day ago scroll bottom app doesnít load post refresh noth donít get error messag post show comment donít load video freez max second react comment someth never actual post next load app see post comment comment reaction donít show"
