"","Doc","Score","Documents"
"1"," 1"," 0","okay app everi delet next day tri get new account get fan follow hate delet much bug stuff glitch app login like hour glitch therefor y need go fix pleas updat think new updat cool hate guy got rid emoji love wonder made us clocksmus s like t instead tell friend get app confus name hate reach follow get live fell like live anyon tic tocmus like peopl someon t go viral follow like everyon get far like get s like heck wrong thought certain amount m confus buy stuff live like s stupid m sorri don t wast money like t add pleas fix"
"2"," 2"," 3","hey take reach grow evolv everi day couldn t without loyal honest fan like keep app communiti work togeth touch user realli hear take feedback heart pleas look updat futur"
"3"," 3"," 6","app truli great think realli start take report system serious go onto app see great content scroll see hate comment hate video report stuff get communiti guidelin say get mad guy allow stuff suppos fun great app posit hate report system true anoth app confus took two month figur half thing still don t know thing popular creater ve two year now s like app instruct realli like app less confusing😅 wise app amaz still complet recommend app 😅 don t think app requir wifi entertain m road trip m board go realiz connect wifi wifi realli think fix pleas great updat"
"4"," 4"," 9","pretti good app love kept intertwin friend took video togeth wear pretti big sport bra cover everyth except stomach video got ban even though char addison famous girl toker short short bikini thought okay guess s okay get ban kept post everyth fine point video got ban hadn t post coupl day decid post video song next ariana grand org pictur hors barn ride hors end put pictur anoth hors selfi see lot hors face littl bit mine got ban said perman ban account reason ban wear normal cloth see face clue got ban m realli upset realli good account everi school friend friend follow got decent amount like video m realli mad right now like hors wear enough cloth serious"
"5"," 5","-1","thank makenzi hill problem solv pleas repli us let us know improv"
"6"," 6","-1","hi imasoccergirl thank much call sorri your experienc problem app weve note concern let team know appreci"
"7"," 7","-2","peopl toxic everi comment opinion get attack ruin day even gonna mention creep m angri mom karen think someth innapropri taken immediat ve made lot report got accept ve report someon told anoth kill theirselv victim got told almost someth look fishi suggest account ban temporarili perez hilton ban idk hes litter want teen app app made teen adult five year old snuck get like s start learn health class repeat without privat account sister seven year old s privat troubl s five year old don t restrict nuditi innapropri stuff think s okay parent find blame get possibl su isn t safe app kid bright side s vid say opinion avail fight love healthi strong opinion argument within app fun addict s thing chang"
"8"," 8"," 3","love person use someth talk friend s basic sometim get control start make tiktok gym school lunch get suspend gotta gotta usual peopl realli nice support peopl get hand shame peopl joke s realli funni ve even caught hate come goe tri stay away use app hour everi week idek thing chang control view video still friend public abl see video abl block specif person video instead block paig feel lot comfort post m popular kid school kid tri put fun overal great app give whop star even tho small problem"
"9"," 9","-2","okay two major problem app first log keep peopl snoop phone get stuff draft get delet like im save day t anyth still give content fan log gone get cosplay redo yes give chanc fix mistak previous cosplay still abl go later see progress made keep draft mayb put secur lock case get hack situat happen noth happen draft problem guy set notif user see enabl notif never get notif despit see content later set notif gf support get other support anytim upload never get notif usual us chat later ask ive seen new tok like shook basic pleas fix draft situat notif pleas"
"10","10","-1","ve year now s favorit app s got major issu though first don t post button say draft button s add video draft look video guess don t put lot work make tok t even post pleas least tell happen m dumb tell second whenev tri search anyth liter anyth say sorri featur current unavail t search anyth s super anoy tell m dumb don t think s write comment third page enjoy watch tok relat one alreadi enjoy still look entir app don t page pleas tri fix issu think ruin almost entir experi"
"11","11"," 0","idk u start let u like vid u video u put draft let u search anyth anyon tri put devic account said dose exist let u follow anyon use music use someth wrong delet download now let account video use let made delet pleas fix let u comment video know happen tri see someon els new comment section let let u look video know sound dumb t tell post first stuff tri follow favorit youtub let pleas fix good part let u like video watch video u t post like everyth els thing name like anyway pleas creator respond fix"
"12","12"," 0","look love app made sever friend recent got half video audio mute shadow ban need fix s get hand tiktok like unlik without m tire save tiktok like issu m problem sever peopl app lot cosplay spend hour get cosplay even turn camera app need major thing fix block certain tag ridicul tag use popular cosplay ban t find search bar tag automat delet love app much m leav review hope help least littl bit get issu solv pleas fix issu awar t much kid app m go get angri s almost imposs monitor especi free app pleas tri fix problem know mani peopl fix"
"13","13"," 2","amaz ever sinc got ve befor loveeee ittttttt sooooooo much total recommend get fun ve two year m nine year old s long sign peopl see vs still like gave much inspir everyday m sad ban much fun get ban love tic best hate peopl go side tic get ban don t happen pleas help us get ticktock ban everybodi cool fun app yeah pleas help us talk ll get ban everybodi love ticktock teacher everybodi love talk nobodi want get ban hate peopl take side want get ban pleas pleas pleas help us don t ticktock get ban anymor go quit now s quarantin yeah pleas get ticktock ban everybodi love ticktock help"
