"","Doc","Score","Documents"
"1"," 1"," 7","enjoy app lot ad wonder problem report someon doesn t much think abl report someon abl go though thank person report user inde idea add person activ account least day person report differ account make suggest app mani peopl least basic doubl digit due multipl swear allow app mayb edit option like exampl camera swing direct origin video app definit absolut perfect peopl enjoy make video other see enjoy though mayb account get page sinc uncommon peopl search hashtag find video though absolut t stand app s amaz anoth suggest definit add notif peopl messag allow spam alreadi ad app suggest app look forward get enjoy"
"2"," 2","-2","love much think speak popul say basic quarantin watch howev suggest first dislik button video lot controversi video peopl like save give creator clout put dislik button show creator mani peopl hesh truli upset understand bad mayb tri away get bad next suggest thought sinc got app realli like video recreat show friend watch later etc put video favorit howev now mani video favorit t even find video need issu wish deepli favorit section differ folder name go put video favorit ask folder name folder watch later danc show peopl etc great app pleas pleas pleas last idea consider"
"3"," 3"," 1","music sinc app launch honest say great first slowli got realli horribl toxic communiti use wifi use lte data tri everyth simpli work instead take cosplay sfx video trigger warn bulli account sexual page year get app meant still underag kid app report video reason simpli got offend video warn instead take video actual veiw doesnt follow communiti guid line video yr old report parent said watch clear got angri parent got im cosplay person sick tire youth app report lgbtq cosplay gamer etc video like hope actual take read reveiw tri improv app dissapoint communiti grown went fun friend make place toxic full hatr unfair communiti matter second comment complaint tire peopl read review app"
"4"," 4"," 0","hi locobria take provid super detail review address comment soon possibl weve resolv wifi issu pleas reach support team help your still experienc problem"
"5"," 5","-1","hi first want say absolut love use app daili basi notic thing bother first upload video t save videossoundsetc bug sever time m page save video sound t m upload video accident lose video sound abl get next ever see peopl k like page appreci much easier smaller account get view smaller account work hard larger one last comment wish peopl couldn t limit comment section person understand limit friend comment nobodi comment feel like limit comment section person peopl feel welcom big wast comment section make far review love small thing don t love"
"6"," 6"," 1","overal love app creativ s gotten truli place peopl share interest grow communiti howev issu current poor job keep bulli app recent sever creator harass threaten other recent case creator larg platform million follow use anoth s pain past promot agenda tell s better person violat video like constant report take less half hour send autom messag content doesn t violat communiti guidelin clear app longer feel like safe space understand lot user take lot manag larg platform howev video report dozen time violat noth done video peopl talk origin vid bad taken get discourag us overal app cool place lot effect way creat manag video comment howev harass bulli rampant right now almost make worth"
"7"," 7"," 8","fun app teen adult cool trend follow fun hack diy cookingbak technolog danc etc taught lot use thing brought lot joy entertain howev con first take lot storag suggest make video don t save camera roll second take batteri quick third distract good day fourth includ app store macbook frustrat need consid phone might break like post daili everi two day fifth s quit bit inappropri content around app final s ton negat circul app shock consid isol worldwid pandem need lot love support like though side peopl stand horrend hate negat trust ve seen horrend thing con away star super fun somewhat educ"
"8"," 8","13","app fun use especi cosplay video easier meet cosplay ever music fun suppos fun app howev app becom litter year old report everi video andor view content shouldn t okay peopl work serious need work monitor app featur profil access older great like app start app anyth s year old use now 🤦🏻‍♀️ cosplay want post say sfx makeup look gori someon isn t gonna around report reason profil dunno featur lot featur ad app better cyber bulli wors ever right now hope app becom safe place fun like use like music mess transit make new friend rather easili etc recommend get easili offend probabl isn t app moment"
"9"," 9"," 4","review ad app long ive made lot video account im alway make video fun watch go along guidlin howev think report appeal system bad recent made video actual trend halloween trend pore candl wax water creat first letter person your gonna marri tell silli harmless everyon minut post video someon report immediat taken without question given option appeal video made didnt go guidlin made sure read see actual someth minut go im told messag except now say appeal deni understand need stuff actual offens danger content feel report much power leav appeal almost say matter whether video offens pleas fix ive dealt mani popular creater tire"
"10","10"," 2","ok ve muser sinc first updat wasn t happi thought hate bunch wors thing happen began love much k littl issu m fine fix soon possibl problem page blue moon ll get unless super lucki work hard never get came think qualiti video enough s alright anoth like find random small account like atleast video good bad t often now limit like comment think realli dumb last issu video delet reason realli popular mine delet made super upset even tho didn t anyth wrong live stream innoc peopl get suspend year old report take read love atleast fix problem"
