"","Doc","Score","Documents"
"1"," 1","-7","nfl post jaguar defens stat plain old argument even though steeleí lost doesnít jag better team noth problem problem type respons comment argument block post say keep certain ìguidelinesî communiti generic messag iíd expect tri say someth racist sexist simpl argument footbal block express opinion didnít follow ìguidelinesî comment vulgar languag present argument degrad demean connot toward recipi note comment made nfl post block post opinion team post promot singular first occurr iív problem block post comment oppos view express within correl post quit frank find ridicul amongst sea comment read post news public fox long donít disagre post anyth isnít immedi racist sexist canít argu footbal fix"
"2"," 2"," 7","went go art account right go check activ say ìweír troubl access activityî like ok mayb need refresh noth chang say ok iím go post anoth piec artwork go post wouldnít post tri refresh didnít post eventu like ok mayb ití email went go confirm email bam confirm email retri noth chang even tri turn phone even though got iphon decemb tri restart phone still didnít work eventu like ok know let log log"
"3"," 3"," 3","made great account gain lot follow end day ban hundr follow averag follow gain day first account unabl comment understand guess comment lot lift day start post realiz hashtag didnít work now shadow ban iím guess believ account bot got mad account still thrive care start delet post claim went guidelin read later saw didníti made promot vid problem next tri vid said went ad polici"
"4"," 4"," 7","iív sinc honest rememb iív alway love recent start art account go smooth first probabl month updat now see post iím gain follow post arenít recommend im big account honest irk see hard work draw post almost everi day now basic noth everyth hand bigger account smaller account now but side ignor almost grow use hashtag stori post regularlyó yet number still decreas new updat feel like say ìdonít promot donít growî sorri everyon abl pay mess wish everyth fair like use big app develop alway ruin someth go good anyon els arenít given chanc bigger account given"
"5"," 5","-1","start use familyí email permiss account donít understand canít account email o account need email absurd poxí explan"
"6"," 6"," 1","instal app said need month eventu post total taken pictur holiday trip vacat famili dog everyth fine love app made anoth slime account made account start use day ask put age reason first account memori"
"7"," 7","-1","put age said tri put age time put age forc first account click button save pictur didnít work confus app said need got email say thirteen app said need mad upset memori gone couldnít recov photo need fix photo"
"8"," 8","-1","alway favorit media app howev recent various problem due malfunct within app begin septemb log account reason big deal iíll log right wrong"
"9"," 9"," 0","everi tri log said error occur log safari app sure password correct allow now know use correct password tri log account app luck contact email said noth problem now march problem still occur need fix situat accord googl multipl peopl face similar issu"
"10","10","-1","irrit problem team seem push side effici run compani"
